costos,tiempos,penalidades,costos-horas-extra,costos-distancia
10491.0,77001,40.0,0.0,10451.0
10554.0,76361,120.0,0.0,10434.0
10506.0,76517,40.0,0.0,10466.0
10521.0,76939,60.0,0.0,10461.0
10400.8,76823,240.0,24.800000000000004,10136.0
10586.0,76939,60.0,0.0,10526.0
10519.0,76917,80.0,0.0,10439.0
10596.0,76226,40.0,0.0,10556.0
10650.0,76396,40.0,0.0,10610.0
10320.0,76749,80.0,0.0,10240.0
10560.0,76967,60.0,0.0,10500.0
10206.0,74275,100.0,0.0,10106.0
10007.0,74618,100.0,0.0,9907.0
10450.0,75225,40.0,0.0,10410.0
10532.0,74280,100.0,0.0,10432.0
10411.0,73977,40.0,0.0,10371.0
10318.0,74271,100.0,0.0,10218.0
10401.0,75460,60.0,0.0,10341.0
10139.0,75549,60.0,0.0,10079.0
10355.0,75880,100.0,0.0,10255.0
10465.0,75762,40.0,0.0,10425.0
10516.0,75532,100.0,0.0,10416.0
10529.0,75596,60.0,0.0,10469.0
10445.0,75429,40.0,0.0,10405.0
10493.0,75389,100.0,0.0,10393.0
10531.0,75301,40.0,0.0,10491.0
10617.0,75060,60.0,0.0,10557.0
10207.0,75561,80.0,0.0,10127.0
10523.2,74963,280.0,27.2,10216.0
10545.6,75104,40.0,51.599999999999994,10454.0
10635.0,75167,60.0,0.0,10575.0
10608.6,75018,100.0,43.6,10465.0
10113.0,73958,60.0,0.0,10053.0
10502.0,73856,60.0,0.0,10442.0
10635.0,74539,80.0,0.0,10555.0
10658.0,75976,60.0,0.0,10598.0
10465.0,75491,40.0,0.0,10425.0
10345.0,75145,60.0,0.0,10285.0
10359.0,75346,40.0,0.0,10319.0
10290.0,75511,80.0,0.0,10210.0
